rec_id,t_id,term_id,term_devanagari,term_iast,wordtree,parent_id,def_id,w_trans,w_def,refn,sys_id
11263,880,ED-3.6,असाध्य-कामला,asādhya-kāmalā,asAdhya-kAmalA,874,0,irremediable kāmalā,"the disorder is characterized by naśhTāgniḥ [loss of agni], ānāhaḥ [barborygmus with distention], aruciḥ [tastelessness], dāhaḥ [burning sensation], kRuśhNaśakRut [black coloured feces], kuśhNamUtram [black coloured urine], mohaḥ [semiconsciousness or stupefaction], pItaśakRut [yellow colour stool], pItamUtram [yellowish urine], saraktākśhi [urine with the colour of blood], saraktamukhaḥ [reddish appearance of face], saraktaśCardiḥ [vomitus with blood], saraktaviT [stools with blood], saraktamUtram [haematuria], naśhTasaṁjā [loss of consciousness], BRuśaṁ śUnatā [excessively swelling], tamaḥ [blackouts], tandrā [drowsiness/lassitude], tRUśhā [thirst], kśhipraṁ vipadyate [sudden death]",Ca.Ci.16/38; Ma.Ni.8/19,1
11264,881,ED-3.7,असाध्य-कुंभकामला,asādhya-kuṃbhakāmalā,asAdhya-kuMBakAmalA,874,0,irremediable kuMbhakāmalā,"the disorder is characterized by Cardiḥ [vomiting], arocakaḥ [tastelessness], hRullāsaḥ [nausea], jvaraḥ [fever], klamaḥ [exhaustion without exertion], śvāsaḥ [breathlessness/difficult breathing], kāsaḥ [cough], viTBedaḥ [altered bowels/loose stools]",Ma.Ni.8/22,1
11265,882,ED-3.8,कामला-अरिष्टः,kāmalā-ariṣṭaḥ,kAmalA-ariShTaH,874,0,fatal signs of kāmalā,"the disorder is characterized by mukhapUrNatā [whole mouth yellowishness], śaṁkhayoḥ muktamāṁsatā [wasting], santrāsaḥ [irritation], aṁgośhNatā [hotness]",Ah.SA.5/113,1
11266,883,ED-4,कुष्ठम्,kuṣṭham,kuShTham,830,0,integumentary disease,,Ca.Ni.5/6; Ca.Ci.7/13; Su.Ni.5; Ah.Ni.14; Ma.Ni.49/1/6; Bp.Ma.53,1
11267,884,ED-4.1,कुष्ठ-पूर्वरूपम्,kuṣṭha-pūrvarūpam,kuShTha-pUrvarUpam,883,0,prodromes of kuṣhTha,"the disorder is characterized by sparśāj~jatvam [inablitity to percive touch sensation], atisvedaḥ [excessive sweating], asvedaḥ [anhidrosis/lack of sweating], vaivarNyam/vivarNatā [discolouration], koThānām unnatiḥ [raised reddish patches], lomaharśhaḥ [horripilation], kaNDUḥ [itching], todaḥ [pricking pain], śramaḥ [exhaustion/fatigue], klamaḥ [exhaustion without exertion], vraNānāmadhikaṁ śUlam [excessive pain in the wounds], śIghrotpattiḥ [sudden onset], cirasthitiḥ [chronic nature], dāhaḥ [burning sensation], suptā~ggatā [loss of sensation of body parts], atiślakśhNasparśaḥ [excessive smoothness of skin], atikharasparśaḥ [excessive roughness of skin], rUDhānāmapi rUkśhatvam [improper healing of wounds], nimitte alpe api kopanam [aggravation by minor causative factors], asRujaḥ kārśhNyam [blackish colour of blood]",Ca.Ci.7/11; As.Ni.14/12; Ah.Ni.14/11,1
11268,885,ED-4.2,महाकुष्ठः,mahākuṣṭhaḥ,mahAkuShThaH,883,0,major skin diseases,"the disorder is characterized by tvaksa~gkocaḥ [contraction of skin], tvagBedaḥ [cracking of skin], tvagsvapanam [numbness of skin], a~ggasādaḥ [exhaustion or tirednes to body /inability to perform physical activities]",Ca.Ci.7/27; Su.Ni.5/9,1
11269,886,ED-4.2.1,कपालः/अरुण-कुष्ठः/वातिककुष्ठः,kapālaḥ/aruṇa-kuṣṭhaḥ/vātikakuṣṭhaḥ,kapAlaH/aruNa-kuShThaH/vAtikakuShThaH,885,0,kuṣhTha due to vāta,"the disorder is characterized by rUkśha [dry], aruNaḥ [reddish colour of skin], paruśhaḥ [rough/dry], viśhamavisRutaḥ [unevenly spread], kharaparyantaḥ [rough margins], tanU [thin], uddhRutabahistanu [raised outer margins], suptavatsuptaḥ [loss of touch sensation], hRuśhitalomācitaḥ [covered with raised hairs], nistodabahulaḥ [excessive pricking pain], alpakaNDU [less itching], alpadāhaḥ [less burning sensation], alpapUyaḥ [less pus discharge], alpalasIkā [less watery discharge], āśugatiḥ [rapid spread], āśusamutthānaḥ [rapid onset], āśuBedi [sudden onset of complications], kRuśhNavarNa [blackish discoloration], aruNavarNaḥ [slightly reddish discoloration], kapālavarNaḥ/kapālāBam [discoloration similar to that of earthen vessels], visarpiNiḥ/śIghrasarpiḥ [sudden sprading nature]",Ca.Ni.5/8; Ca.Ci.7/14; Su.Ni.5/8; Ah.Ni.14/13-14; Ma.Ni.49/10-11; Sha.Pu.kha.7/87; Bp.Ma.53/18,1
11270,887,ED-4.2.2,कापालककुष्ठम्,kāpālakakuṣṭham,kApAlakakuShTham,885,0, kāpālaka -kuṣhTha,the disorder is characterized by kRuśhNakapālikāprakāśaḥ [resembling black earthen vessel],,1
11271,888,ED-4.2.3,उदुम्बर-कुष्ठः/पैत्तिक-कुष्ठः,udumbara-kuṣṭhaḥ/paittika-kuṣṭhaḥ,udumbara-kuShThaH/paittika-kuShThaH,885,0,kuṣhTha due to pitta,"the disorder is characterized by tāmraḥ [coppery coloured], tāmranakhaḥ [copper coloured nails], tāmraromarājIBiranavaddhaḥ [covered with copper coloured hairs], bahalāni [copious discharges], bahupUyaḥ [excessive pus discharge], bahuraktaḥ [excessive bloody discharge], bahulasIkā [excessive watery discharge], bahalapUyaḥ [thick pus discharge], bahalaraktaḥ [thick bloody discharge], bahalalasIkā [thick watery discharge], kaNDUḥ [itching], kledaḥ [moistening /soddening], kothaḥ [wheal like skin eruptions], dāhaḥ [burning sensation], pākaḥ [inflammation/suppuration], āśugatiḥ [rapid spread], āśusamutthānaḥ [rapid onset], āśuBediḥ [sudden onset of complications], sasaṁtāpaḥ [associated with heat], sakRumiḥ [associated with worms], pakvaudumbaraPalavarNaḥ/udumbaraPalāBāsam [resembling the ripe fruit of udumbaraḥ], gaurasirācitam [with whitish veins], rujākaram [painful], āśu avadaraNam [sudden onset of putrefaction], rāgam [redness/congestion], lomapi~jjaram [tawny browninsh coloured hairs]",Ca.Ni.5/8; Ca.Ci.7/15; Su.Ni.5/8; Ah.Ni.15/16; Ma.Ni.49/11-12; Sha.Pu.kha.7/87; Bp.Ma.53/19,1
11272,889,ED-4.2.4,मण्डलकुष्ठः/कफजकुष्ठः,maṇḍalakuṣṭhaḥ/kaphajakuṣṭhaḥ,maNDalakuShThaH/kaPajakuShThaH,885,0,kuṣhTha due to kapha,"the disorder is characterized by snigdhaḥ [smooth/unctuous /oily], guru [heaviness], utsedhaḥ [raised], ślakśhNaparyantaḥ [glossy margins], sthiraparyantaḥ [hard margins], pItaparyantaḥ [yellowish margins], śuklāvaBāsI [whitish appearance], raktāvaBāsI [reddish appearance], śuklaromarājIsantataḥ [covered with whitish hairs], bahusrāvaḥ [excessive/copious discharge], bahalasrāvaḥ [profuse discharge], picCilasrāvaḥ [slimy discharge], bahukledaḥ [excessive moistness/soddening], bahukaNDU [excessive itching], bahukRumiḥ [excess worms], saktagatiḥ [slow spread], saktasamutthānaḥ [slow onset], saktaBedI [slow onset of complications]",Ca.Ni.5/8; Ca.Ci.7/16; Su.Ni.5/8; Ah.Ni.15/16-17; Ma.Ni.49/12-13; Sha.Pu.kha.7/87; Bp.Ma.53/20,1
11273,890,ED-4.2.5,ऋष्यजिह्वकः,ṛṣyajihvakaḥ,RuShyajihvakaH,885,0,rishyajihva-kuṣhTha,"the disorder is characterized by RuśhyajihvākRutIni/Ruśhyajihvāprakāśaḥ [looks like a tongue of a antelope], paruśhaḥ [rough/dry], aruNavarNaḥ [slightly reddish coloured], bahirantaḥśyāvaḥ [blackish inside out], nIlāBāsaḥ [bluish tinge], pItāvaBāsaḥ [yellowish tinge], tāmrāvaBāsaḥ [coppery tinge], āśugatiḥ [rapid spread], āśusamutthānaḥ [rapid onset], alpakaNDu [less itching], alpakledaḥ [less moisture], alpakRumi [less worms], dāhabahulaḥ [excessive burning sensation], Bedabahulaḥ [severe splitting type of pain], nistodabahulaḥ [excessive pricking pain], śUkopahatopamavedanā [having pain as if pierced with bristles], utsannamadhyaḥ [raised middle part of lesion], tanuparyantaḥ [thin margins], karkaśapiDakācitaḥ [covered with rough eruptions], dIrghaparimaNDalaḥ [large circular patch], kharaḥ [rough]",Ca.Ni.5/8; Ca.Ci.7/18; Su.Ni.5/8; Ah.Ni.15/18-19; Ma.Ni.49/13-14; Sha.Pu.kha.7/88; Bp.Ma.53/24,1
11274,891,ED-4.2.6,पुण्डरीकः,puṇḍarīkaḥ,puNDarIkaH,885,0,puNDarIka-kuṣhTha,"the disorder is characterized by puNDarIkasa~gkāśaḥ/puNDarIkapatraprakāśaḥ [like the petals of a puNDarIka (lotus)], palāśasa~gkāśaḥ [resembling palāśa flower], śuklāvaBāsaḥ [whitish appearance], raktāvaBāsaḥ [reddish appearance], raktaparyantaḥ [reddish margins], raktarājIsantataḥ [full of red streaks], raktasirāsantataḥ [associated with reddish veins], utsedhavanti [raised], bahupUyaḥ [excessive pus discharge], bahuraktaḥ [excess bloody discharge], bahulasIkā [excessive watery discharge], bahalapUyaḥ [thick pus discharge], bahalaraktaḥ [thick bloody discharge], bahalalasIkā [thick watery discharge], kaNDUḥ [itching], kRumiḥ [worms], dāhaḥ [burning sensation], pākaḥ [inflammation/suppuration], āśugatiḥ [rapid spread], āśusamutthanaḥ [rapid onset], āśuBediḥ [sudden onset of complications]",Ca.Ni.5/8; Ca.Ci.7/18; Su.Ni.5/8; Ah.Ni.15/16-17; Ma.Ni.49/14-15; Sha.Pu.kha.7/89; Bp.Ma.53/23,1
11275,892,ED-4.2.7,सिध्मः,sidhmaḥ,sidhmaH,885,0,sidhma-kuṣhTha,"the disorder is characterized by alābupuśhpasa~gkāśam [resembling flowers of a gourd], paruśhaḥ [rough/dry], aruNaḥ [reddish in colour], viśIrNa [broken, shattered], bahistanUni [thin outside], antaḥsnigdhāni [unctuous inside], śuklaraktāvaBāsaḥ [whitish and reddish tinge], bahUni [numerous], alpavedanā [mild pain], alpakaNDU [less itching], alpadāhaḥ [less burning sensation], alpapUyaḥ [less pus discharge], alpalasIkā [less watery discharge], laghusamutthānaḥ [light onset], alpaBedaḥ [less complications], alpakRumi [less worms], ghRuśhTaṁ rajaḥ kiret [dust on itching], daugdhikapuśhpavat [resembles daugdhika flower], prāyeNa Urdhvakāye syāt [usually affects upper part of the body]",Ca.Ni.5/8; Ca.Ci.7/19; Su.Ni.5/12; Ah.Ni.15/21-22; Ma.Ni.49/15-16; Sha.Pu.kha.7/88; Bp.Ma.53/21,1
11276,893,ED-4.2.8,काकणकः,kākaṇakaḥ,kAkaNakaH,885,0,kākaNaka-kuṣhTha,"the disorder is characterized by kākaNāntikāvarNaḥ/kākaNāntikāPalasadRuśaḥ [colour of a kākaNāntikā], sarvakuśhThali~ggasamanvitaḥ [with symptoms of all the kuśhTha], atIvaraktaḥ [dark red in colour], atIvakRuśhNaḥ [dark black in colour], tIvradāhaḥ [severe burning sensation], tIvraruk [severe pain]",Ca.Ni.5/8; Ca.Ci.7/20; Su.Ni.5/8; Ah.Ni.15/29-30; Ma.Ni.49/16-17; Sha.Pu.kha.7/90; Bp.Ma.53/22,1
11277,894,ED-4.3,क्षुद्रकुष्ठम्,kṣudrakuṣṭham,kShudrakuShTham,883,0,minor skin diseases,,Ma.Ni.49/17,1
11278,895,ED-4.3.1,एककुष्ठः,ekakuṣṭhaḥ,ekakuShThaH,894,0,eka kuṣhTha,"the disorder is characterized by asvedanam [anhidrosis/lack of sweating], mahāvastu/mahāśrayam [broad based], matsyaśakalopamam [looks like the scales of a fish]",Ca.Ci.7/21; Su.Ni.5/10; Ah.Ni.15/20; Ma.Ni.49/17-18; Sha.Pu.kha.7/88; Bp.Ma.53/25,1
11279,896,ED-4.3.2,चर्मकुष्ठः,carmakuṣṭhaḥ,carmakuShThaH,894,0,carma -kuṣhTha,"the disorder is characterized by bahalam [large in size], hasticarmavat [resembling the skin of elephant], kharasparśam [rough on touch]",Ca.Ci.7/21; Su.Ni.5/10; Ah.Ni.15/20; Ma.Ni.49/18; Sha.Pu.kha.7/89; Bp.Ma.53/25,1
11280,897,ED-4.3.3,किटिभः,kiṭibhaḥ,kiTiBaH,894,0,kiTibha-kuṣhTha,"the disorder is characterized by śyāvaṁ [bluish black colour], kiNakharasparśam [rough on touch], paruśham [rough/dry], rUkśham [dry], kaNDUmat [itching sensation], asitam [blackish discoloration]",Ca.Ci.7/22; Su.Ni.5/14; Ah.Ni.15/20; Ma.Ni.49/18; Sha.Pu.kha.7/88; Bp.Ma.53/33,1
11281,898,ED-4.3.4,विपादिका,vipādikā,vipAdikA,894,0,cracks in palms and soles,"the disorder is characterized by pāNisPuTanam [cracks in the hands], pādasPuTanam [cracks in the feet], tIvravedanam/tIvrārtiḥ [severe pain], mandakaNDU [less itching], rāgaḥ [redness/congestion], piTakācitaḥ [associated with eruptions]",Ca.Ci.7/23; Su.Ni.5/13; Ah.Ni.15/23; Ma.Ni.49/19; Sha.Pu.kha.7/88; Bp.Ma.53/28,1
11282,899,ED-4.3.5,अलसककुष्ठः/अलसकुष्ठः,alasakakuṣṭhaḥ/alasakuṣṭhaḥ,alasakakuShThaH/alasakuShThaH,894,0,ālasaka-kuṣhTha,,Ca.Ci.7/23; As. Ni.14/24; Su.Ni.5; Ah.Ni.15/22-23; Ma.Ni.49/19; Sha.Pu.kha.7/88; Bp.Ma.53/34,1
11283,900,ED-4.3.6,दद्रु-कुष्ठः,dadru-kuṣṭhaḥ,dadru-kuShThaH,894,0,dadru-kuṣhTha,"the disorder is characterized by kaNDUḥ [associated with itching sensation], rāgaḥ [reddish nodules], piDakā [papule/eruptions], udgata maNDalam/utsannamaNDalā [elevated ring shaped plaque], dIrghapratānāḥ [spreading out], dUrvāvat [resembling dUrvā], atasIkusumacCaviḥ [resembling the flower of atasI], anuśha~ggiNI [chronic (associated over a long period)]",Ca.Ci.7/23; Su.Ni.5/8; Ah.Ni.15/24; Ma.Ni.49/20; Sha.Pu.kha.7/89; Bp.Ma.53/31,1
11284,901,ED-4.3.7,चर्मदल-कुष्ठः,carmadala-kuṣṭhaḥ,carmadala-kuShThaH,894,0,carmadala-kuṣhTha,"the disorder is characterized by raktam [redness], kaNDUḥ [itching], sPoTaḥ [blister], rujā [pain], dalanam [putrifaction], sparśāsahatvam/asparśasaham [tenderness/inability to tolerate touch], Uśhā [burning sensation with sweating and restlessness], dāhaḥ [burning sensation]",Ca.Ci.7/24; Su.Ni.5/10; Ah.Ni.15/29; Ma.Ni.49/20; Sha.Pu.kha.7/89; Bp.Ma.53/26,1
11285,902,ED-4.3.8,पामा (कच्छू),pāmā (kacchū),pAmA (kacCU),894,0,pāmā-kuṣhTha,"the disorder is characterized by śvetaḥ [whitish discoloration], aruNaḥ [reddish discoloration], śyāvaḥ [bluish black colour], kaNDUḥ [itching], piDakā [papule/eruptions], kledaḥ [moistening /soddening], rujā [pain], sUkśhmaḥ [minute], prāyaḥ sPikpāNikUrpare [especially in the buttocks, hands and elbow]",Ca.Ci.7/25; Su.Ni.5/14; Ah.Ni.15/28; Ma.Ni.49/21; Sha.Pu.kha.7/89; Bp.Ma.53/29-30,1
11286,904,ED-4.3.9,शतारु-कुष्ठः,śatāru-kuṣṭhaḥ,SatAru-kuShThaH,894,0,shatāru-kuṣhTha,"the disorder is characterized by raktam [reddish ulcerative lesion], śyāvam [bluish black colour], dāhaḥ [lesion associated with burning sensation], artiḥ [pain], bahuvraNaḥ [multiple ulcerative lesion], sthUlamUlam [broad based], kledāDhyam [excessively moist/wet/discharge], jantvāDhyam [full of worms], prāyaśaḥ parvajanma ca [usually appears on joints]",Ca.Ci.7/26; Ah.Ni.15/25; Ma.Ni.49/22; Sha.Pu.kha.7/89; Bp.Ma.53/35,1
11287,905,ED-4.3.10,विचर्चिका,vicarcikā,vicarcikA,894,0,vicarcikā-kuṣhTha /wet Eczema,"the disorder is characterized by kaNDUḥ [itching], piDakā [papule/eruptions], śyāvā [blackish discoloration], bahusrāvā [excessive/copious discharge], lasIkāDhyā [excessive watery discharge]",Ca.Ci.7/26; Su.Ni.5/13; Ah.Ni.15/18; Ma.Ni.49/23; Sha.Pu.kha.7/87; Bp.Ma.53/27 [Su.Ni.13/28; Ma.Ni.49/23; Sha.Pu.7/87],1
11288,906,ED-4.3.11,स्थूलारुष्क,sthūlāruṣka,sthUlAruShka,894,0,sthUlarushka-kuṣhTha,"the disorder is characterized by sthUlāni (arUṁśhiḥ) [broad based], sandhiśhu (arUṁśhiḥ) [at the joints], atidāruNa (arUṁśhiḥ) [severe form], kaThinaḥ (arUṁśhiḥ) [hard eruptions]",Ca.Ci.7/27; Su.Ni.5/9; Ah.Ni.15/19,1
11289,908,ED-4.4,धातुगतकुष्ठः,dhātugatakuṣṭhaḥ,dhAtugatakuShThaH,883,0,kuṣhTha afflicting dhātu,,,1
11290,909,ED-4.4.1,त्वग्गतकुष्ठः,tvaggatakuṣṭhaḥ,tvaggatakuShThaH,908,0,kuṣhTha afflicting tvak,"the disorder is characterized by sparśhahāniḥ [loss of tactile sensation], svedanatvam [sweating], Iśat kaNDU [minimal itching], vaivarNyam/a~gga-vaivarNam [discolouration], rUkśhaBāvaḥ/rUkśhatā [dryness], todaḥ [pricking pain]",,1
11291,910,ED-4.4.2,रक्तगतकुष्ठः,raktagatakuṣṭhaḥ,raktagatakuShThaH,908,0,kuṣhTha afflicting rakta,"the disorder is characterized by tvak-svāpaḥ [numbness at the site], romaharśhaḥ [horripilation], svedāBipravartanam/svedātipravartanam/svedaḥ [excessive sweating], kaNDUḥ [itching], vipUyakaḥ [putrid suppuration], śvayathuḥ [oedema]",Su.Ni.5/23; As.Ni.14/35; Ah.Ni.14/34; Ma.Ni. 49/26,1
11292,911,ED-4.4.3,मांसगतकुष्ठः,māṃsagatakuṣṭhaḥ,mAMsagatakuShThaH,908,0,kuṣhTha afflicting māMsa ,"the disorder is characterized by bāhulyam [large circular patches], vaktraśośhaḥ [dryness of mouth], kārkaśyam [roughness], piDakodgamaḥ [appearance of eruptions], todaḥ [pricking pain], sPoTāḥ [blisters], sthiratvam [fixity], pāNyāśritasPoTāḥ [blisters on palms], pādāśritasPoTāḥ [blisters on sole], sandhiśhu adhikaṁ kledaḥ [discharge, secretion at joint places]",Su.Ni.5/24; Ma. Ni. 49/27,1
11293,912,ED-4.4.4,मेदोगतकुष्ठः,medogatakuṣṭhaḥ,medogatakuShThaH,908,0,kuṣhTha afflicting medas,"the disorder is characterized by daurgandhyam [bad odour], upadehaḥ [rheum], pUyaḥ [pus formation], krimisaṁBavaḥ [production of maggots], gātrāNāṁ Bedanam [breaking pain in body], kauNyam [falling off of the fingers and toes], gatikśhayaḥ [restricted movements of the limbs], a~ggānāṁ dalanam [putrifaction], saṁBedaḥ [tearing sensation], kśhatasarpaNam [spreading of the lesions]",As.Ni.14/36; Ah.Ni.14/34; Ma.Ni.49/28,1
11294,913,ED-4.4.5,अस्थिगतकुष्ठः,asthigatakuṣṭhaḥ,asthigatakuShThaH,908,0,kuṣhTha afflicting asthi,"the disorder is characterized by nāsāBa~ggaḥ [depression of nasal bridge], akśhirāgaḥ/netrarāgaḥ [redness in the eyes], krimisaṁBavaḥ (kśhateśhu ) [production of maggots in the lesion], svaropaghātaḥ [loss of speech], svarakśhayaḥ [diminution of voice/loss of voice]",Su.Ni.5/26; As.Ni.14/37; Ma. Ni.49/29,1
11295,914,ED-4.4.6,मज्जागतकुष्ठः,majjāgatakuṣṭhaḥ,majjAgatakuShThaH,908,0,kuṣhTha afflicting majjā,"the disorder is characterized by nāsāBa~ggaḥ [depression of nasal bridge], akśhirāgaḥ [redness in the eyes], krimisaṁBavaḥ (kśhateśhu ) [production of maggots in the lesion], svaropaghātaḥ [loss of speech], svarakśhayaḥ [diminution of voice/loss of voice]",Su.Ni.5/25; As.Ni.14/37; Ah.Ni.15/35; Ma.Ni.49/29,1
11296,915,ED-4.4.7,शुक्रगतकुष्ठः,śukragatakuṣṭhaḥ,SukragatakuShThaH,908,0,kuṣhTha afflicting shukra,"the disorder is characterized by kauNyam [falling off of the fingers and toes], gatikśhayaḥ [restricted movements of the limbs], a~ggānāṁ samBedaḥ [tearing sensation of the limbs], kśhatasarpaNam [spreading of the lesions], prāguktalakśhaNāni [clinical features mentioned as above/earlier], dārābādhanam [affliction to spouse], apatyabādhanam/apatyaṁ Bavati kuśhThitam [affliction to progeny]",Su.Ni.5/27,1
11297,916,ED-4.5,असाध्यकुष्ठः,asādhyakuṣṭhaḥ,asAdhyakuShThaH,883,0,incurable kuṣhTha,"the disorder is characterized by sarvaliṁgairyutatvam [clinical features of all types of  dOśha], abalatvam [lack of strength], tRuśhNā [thirst], dāhaḥ [burning sensation], śāntāgniḥ [loss of digestive power], jantujagdham [affected with worms], sarvadośholbaNatā [predominance of all three  dOśha], riśhToktalakśhaNayuktam [associated with fatal signs], asthisamāśrayam [involving asthi dhātu], majjāsamāśrayam [involving majjā dhātu], śukrasamāśrayam [involving shukra dhātu]",Ca.Ci.7/37; Ah.U.36/32; Ma.Ni.49/32,1
11298,917,ED-4.6,कुष्ठ-उपद्रवः,kuṣṭha-upadravaḥ,kuShTha-upadravaH,883,0,complications of kuṣhTha,"the disorder is characterized by prasravaNam [discharge], aṁgaBedaḥ [cracking of skin/body parts], aṁgāvayavānāṁ patanam [suppuration, falling of body parts], tRuśhNā [thirst], jvaraḥ [fever], atisāraḥ [diarrhoea], dāhaḥ [burning sensation], daurbalyam [weakness], arocakaḥ [tastelessness], avipākaḥ [indigestion]",Ca.Ni.5/11;,1
11299,918,ED-4.7,कुष्ठ-अरिष्टः,kuṣṭha-ariṣṭaḥ,kuShTha-ariShTaH,883,0,fatal signs of kuṣhTha,,Su.U.33/9; As.Sa.11 /31; Ah.Sa.5/98; Ma.Ni.49/32,1
11300,919,ED-5,श्वित्रः,śvitraḥ,SvitraH,830,0,vitiligo/leucoderma,"the disorder is characterized by aparisrāvI [not having discharge], kevalatvaggatatvama [affecting only the skin]",Ca.Ci.7/173; Ah.Ni.15/37; Ma.Ni.49/36; Sha.Pu.kha.7/90; Bp.Ma.53,1
11301,920,ED-5.1,वातिक-श्वित्रः,vātika-śvitraḥ,vAtika-SvitraH,919,0,shvitra due to vāta,"the disorder is characterized by maNDalam [circular patches], aruNam [slightly reddish coloured], paruśham [rough/dry], paridhvaṁsi [ruining], rUkśham [dry]",Su.Ni.5/17; As.Ni.14/40; Ah.Ni.14/38; Ma.Ni.9/38,1
11302,921,ED-5.2,पैत्तिक-श्वित्रः/किलासः,paittika-śvitraḥ/kilāsaḥ,paittika-SvitraH/kilAsaH,919,0,shvitra due to pitta,"the disorder is characterized by padmapatrapratIkāśam/kamalapatravat [like the petals of a lotus], saparidāhaḥ [burning sensation], tāmraḥ [copper coloured], dāhaḥ [burning sensation], romavidhvaṁsanam [loss of hairs]",Su.Ni.5/17; As.Ni.14/40; Ah.Ni.14/35; Ma.Ni.49/38,1
11303,922,ED-5.3,कफजश्वित्रः/किलासः,kaphajaśvitraḥ/kilāsaḥ,kaPajaSvitraH/kilAsaH,919,0,shvitra due to kapha,"the disorder is characterized by śvetaḥ [whitish discoloration], snigdhaḥ [smooth/unctuous /oily], bahalaḥ [large in size], kaNDUḥ [itching], ghanaḥ [thick and dense lesion], guruḥ [heaviness]",As.Ni.14/40; Ah.Ni.14/38; Ma.Ni.49/38,1
11304,923,ED-5.4,रक्तजश्वित्रः-दरुणः,raktajaśvitraḥ-daruṇaḥ,raktajaSvitraH-daruNaH,919,0,shvitra due to rakta,the disorder is characterized by raktavarNaḥ [red colour],Ca.Ci.7/174,1
11305,924,ED-5.5,मांसजश्वित्रः-चारुणः,māṃsajaśvitraḥ-cāruṇaḥ,mAMsajaSvitraH-cAruNaH,919,0,shvitra due to māMsa ,the disorder is characterized by tāmravarNaḥ [coppery colour lesions],Ca.Ci.7/174,1
11306,925,ED-5.6,मेदोजश्वित्रः,medojaśvitraḥ,medojaSvitraH,919,0,shvitra due to medas,the disorder is characterized by śvetavarNaḥ [white colour lesions],Ca.Ci.7/174; Ma.Ni.49/37,1
11307,926,ED-5.7,असाध्यकिलास,asādhyakilāsa,asAdhyakilAsa,919,0,Incurable shvitra,"the disorder is characterized by sambaddhamaNDalam [non overlapping lesions], antejātam [lesions developing on extremities, lips etc.], raktaromaḥ [in which the terminal hairs are red], agnidagdhajanyaśrvitram [those which developed after burns]",Su.Ni.5/17,1
11308,927,ED-6,मसूरिका,masūrikā,masUrikA,830,0,smallpox,"the disorder is characterized by masUrākRuti-piDakā [lentil form pustules on skin], masUrasaṁsthāna-piDakā [lentil size pustules on skin]",Ca.Ci.12/13; Su.Ni.13/38; Ah.U.31/8; Ma.Ni.54/1-4; Sha.Pu.kha.7/97; 98-99; Bp.Ma.59,1
11309,928,ED-6.1,मसूरिकापूर्वरूपम्,masūrikāpūrvarūpam,masUrikApUrvarUpam,927,0,prodromes of masUrikā,"the disorder is characterized by jvaram [fever], kaNDUḥ [itching], gātraBa~ggaḥ [breaking pain in body], aratiḥ [distress/dicontent/restlessness], Bramaḥ [giddiness or dizziness], tvaci śothaḥ [oedema on skin], vaivarNyam [discolouration], netrarāgaḥ [redness of eyes]",,1
11310,929,ED-6.2,वातजमसूरिका,vātajamasūrikā,vAtajamasUrikA,927,0,masUrikā due to vāta,"the disorder is characterized by śyāva-sPoTaḥ [blackish eruptions], aruNa-sPoTaḥ [slightly reddish eruptions], rUkśha-sPoTaḥ [dry eruptions], tIvravedanā (sPoTaḥ) [severe pain], kaThina-sPoTaḥ [hard eruptions], cirapākaḥ [take a long time to suppurate], sandhi-Bedaḥ [breaking/splitting pain in joints], asthi-Bedaḥ [breaking/splitting type of pain in the bones], parva-Bedaḥ [breaking type of pain in small joints], kāsaḥ [cough], kampaḥ [tremors], aratiḥ [distress/dicontent/restlessness], klamaḥ [exhaustion without exertion], tālu-śośhaḥ [dryness of palate], ośhTha-śośhaḥ [dryness of the lips], jihvā-śośhaḥ [dryness of the tongue], tRuśhNā [thirst], aruciḥ [tastelessness]",Ma.Ni.54/4-6; Sha.Pu.kha.7/98; Bp.Ma.59/4,1
11311,930,ED-6.3,पित्तजमसूरिका,pittajamasūrikā,pittajamasUrikA,927,0,masUrikā due to pitta,"the disorder is characterized by rakta-sPoTaḥ [red eruptions], pIta-sPoTāḥ [yellow eruptions], asita-sPoTaḥ [blackish eruptions], dāhaḥ [burning sensation], tIvravedanā [severe pain], acirapākaḥ [suppurates quickly], viDBedaḥ [altered stools/loose motions], a~ggamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tRuśhNā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akśhirāgaḥ [redness in the eyes], tIvra jvaraḥ [severe fever], sudāruNajvaraḥ [very distressing and high fever]",Ma.Ni.54/6-8; Sha.Pu.kha.7/98; Bp.Ma.59/5-6,1
11312,931,ED-6.4,कफजमसूरिका,kaphajamasūrikā,kaPajamasUrikA,927,0,masUrikā due to kapha,"the disorder is characterized by kaPaprasekaḥ [salivation], staimityam [a sensation of being covered with wet clothes], śiroruk [headache], gātragauravam [heaviness of the limbs], hRullāsaḥ [nausea], aruciḥ [tastelessness], nidrā [sleep], tandrā [drowsiness/lassitude], ālasyam [lethargy], śvetapiDakā [white], snigdhapiDakā [unctuous apprearance of eruptions], sthUlapiDakā/BRuśasthUlaḥ [large eruptions], kaNDUraḥ [associated with an itching sensation], mandavedanā [mild pain], cirapākI [take a long time to suppurate]",Ma.Ni.54/9-10; Sha.Pu.kha.7/98; Bp.Ma.59/9-10,1
