Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name_English,Name_English_Under_Index
270,268,ABB-7,amlakaH (kEvalapitta),(a) amlakaḥ,अम्लकः (केवलपित्त),-,-,-,Painful acid eructatons disorder (TM2) ⇒,-
271,269,ABB-8,aMsadAhaH (kEvalapitta),(a) aṃsadāhaḥ,अंसदाहः (केवलपित्त),-,-,-,Burning sensation of shoulder disorder (TM2) ⇒,-
272,270,ABB-9,AsyavipAkaH (kEvalapitta),(a) āsyavipākaḥ                     (a) mukhpākaḥ,आस्यविपाकः (केवलपित्त),-,"It is characterised by ulcer in the mouth, tongue and spread towards oesophagus and stomach. This may be explained by: (a) Increased pittadosha affecting the mouth.",-,Stomatitis disorder (TM2),-
273,271,ABB-10,UShmAdhikyam (kEvalapitta),(a) ūṣmādhikyam,ऊष्माधिक्यम् (केवलपित्त),-,-,-,Excessive temperature disorder (TM2) ⇒,-
274,272,ABB-11,oShaH (kEvalapitta),(a) oṣaḥ,ओषः (केवलपित्त),-,-,-,Burning sensation with sweating and restlessness disorder (TM2) ⇒,-
275,273,ABB-12,kakShA (kEvalapitta),kakṣā (kēvalapitta),कक्षा (केवलपित्त),-,"the disorder is characterized by sarvaśarīragāḥ visphōṭakāḥ [blisters all over body], sarāgajvaratarṣayuktāḥ sphōṭāḥ [reddish blisters with fever, thirst]",-,hidradenitis suppurativa/Axillary or inguinal abscess (due only to pittadōṣa),-
276,274,ABB-13,kAmalA (kEvalapitta),kāmalā (kēvalapitta),कामला (केवलपित्त),-,-,-,jaundice (due only to pittadōṣa),-
277,275,ABB-14,galapAkaH (kEvalapitta),galapākaḥ (kēvalapitta),गलपाकः (केवलपित्त),-,-,-,pharyngitis (due only to pittadōṣa),-
278,276,ABB-15,gudapAkaH/gudakuTTanam (kEvalapitta),gudapākaḥ/gudakuṭṭanam (kēvalapitta),गुदपाकः/गुदकुट्टनम् (केवलपित्त),-,-,-,proctitis (due only to pittadōṣa),-
279,277,ABB-16,jIvAdAnaH (kEvalapitta),jīvādānaḥ (kēvalapitta),जीवादानः (केवलपित्त),-,-,-,haemorrhage (due only to pittadōṣa),-
280,278,ABB-17,tamapraveSaH/tamaH-atidarSanam (kEvalapitta),"(a) tamapraveśaḥ, (a) tamaḥ-atidarśanam",तमप्रवेशः/तमः-अतिदर्शनम् (केवलपित्त),-,-,-,Blackout disorder (TM2) ⇒,-
281,279,ABB-18,tiktAsyatA (kEvalapitta),tiktāsyatā (kēvalapitta),तिक्तास्यता (केवलपित्त),-,-,-,feeling of bitter taste (due only to pittadōṣa),-
282,280,ABB-19,tRuShNAdhikyam (kEvalapitta),tr̥ṣṇādhikyam (kēvalapitta),तृष्णाधिक्यम् (केवलपित्त),-,-,-,polydipsia (due only to pittadōṣa),-
283,281,ABB-20,tvagavadaraNam (kEvalapitta),tvagavadaraṇam (kēvalapitta),त्वगवदरणम् (केवलपित्त),-,-,-,cracking of skin (due only to pittadōṣa),-
284,282,ABB-21,tvagdAhaH (kEvalapitta),(a) tvagdāhaḥ,त्वग्दाहः (केवलपित्त),-,-,-,Burning sensation in the skin disorder (TM2) ⇒,-
285,283,ABB-22,davaH (kEvalapitta),(a) davaḥ,दवः (केवलपित्त),-,-,-,Burning sensation of buccal cavity disorder (TM2) ⇒,-
286,284,ABB-23,davathuH (kEvalapitta),(a) davathuḥ,दवथुः (केवलपित्त),-,-,-,Burning sensation of sense organs disorder (TM2) ⇒,-
287,285,ABB-24,dAhaH (kEvalapitta),(a) dāhaḥ,दाहः (केवलपित्त),-,-,-,Burning sensation disorder (TM2) ⇒,-
288,286,ABB-25,dhUmakaH/dhUmodgAraH (kEvalapitta),"(a) dhūmakaḥ, (a) dhūmodgāraḥ",धूमकः/धूमोद्गारः (केवलपित्त),-,-,-,Fuming sensation disorder (TM2) ⇒,-
289,287,ABB-26,akAlapalitaH (kEvalapitta),akālapalitaḥ (kēvalapitta),अकालपलितः (केवलपित्त),-,-,-,premature greying of hair (due only to pittadōṣa),-
290,288,ABB-27,pUtimukhatA (kEvalapitta),(a) pūtimukhatā,पूतिमुखता (केवलपित्त),-,"It is characterised by putrid odour in the mouth. This may be explained by: (a) Vitiated kapha, pitta, blood affecting teeth and gums.",-,Halitosis disorder (TM2),-
291,289,ABB-28,ploShaH (kEvalapitta),(a) ploṣaḥ,प्लोषः (केवलपित्त),-,-,-,Scorching pain disorder (TM2) ⇒,-
292,290,ABB-29,mAMsakledaH (kEvalapitta),(a) māṃsakledaḥ,मांसक्लेदः (केवलपित्त),-,-,-,Putrefaction disorder (TM2) ⇒,-
293,291,ABB-30,mAMsadAhaH (kEvalapitta),(a) māṃsadāhaḥ,मांसदाहः (केवलपित्त),-,-,-,Burning sensation of muscle disorder (TM2) ⇒,-
294,292,ABB-31,meDhrapAkaH (kEvalapitta),(a) meḍhrapākaḥ,मेढ्रपाकः (केवलपित्त),-,"It is characterised by painful swelling and redness of the penis may be associated with radiating pain to loin and thigh region. This may be explained by: (a) Aggravation of pitta affecting skin, muscle resulting in inflammation.",-,Balanitis disorder (TM2),inflammation of the penis
295,293,ABB-32,raktakoThaH (kEvalapitta),raktakōṭhaḥ (kēvalapitta),रक्तकोठः (केवलपित्त),-,-,-,urticaria (due only to pittadōṣa),-
296,294,ABB-33,raktavisPoTaH (kEvalapitta),raktavisphōṭaḥ (kēvalapitta),रक्तविस्फोटः (केवलपित्त),-,-,-,red vesicle (due only to pittadōṣa),-
297,295,ABB-34,raktapittam (kEvalapitta),raktapittam (kēvalapitta),रक्तपित्तम् (केवलपित्त),-,-,-,epistaxis/bleeding disorder (due only to pittadōṣa),-
298,296,ABB-35,raktamaNDalam (kEvalapitta),(a) raktamaṇḍalam,रक्तमण्डलम् (केवलपित्त),-,-,-,Red wheals disorder (TM2) ⇒,-
299,297,ABB-36,lohitagandhAsyatA (kEvalapitta),lōhitagandhāsyatā (kēvalapitta),लोहितगन्धास्यता (केवलपित्त),-,-,-,blood-smell of mouth (due only to pittadōṣa),-
300,298,ABB-37,vidAhaH (kEvalapitta),(a) vidāhaḥ,विदाहः (केवलपित्त),-,-,-,Generalized burning sensation disorder (TM2) ⇒,-
301,299,ABB-38,SoNitakledaH (kEvalapitta),śōṇitaklēdaḥ (kēvalapitta),शोणितक्लेदः (केवलपित्त),-,"the disorder is characterized by śōṇitasya kr̥ṣṇatā daurgandhyaḥ tanutvāni [blackish, bad smell and diluted rakta]",-,hypoviscous blood (due only to pittadōṣa),-
302,300,ABB-39,haritanetraH (kEvalapitta),haritanētraḥ (kēvalapitta),हरितनेत्रः (केवलपित्त),-,-,-,greenish eyes (due only to pittadōṣa),-
303,301,ABB-40,haritamUtraH (kEvalapitta),haritamūtraḥ (kēvalapitta),हरितमूत्रः (केवलपित्त),-,-,-,greenish urine (due only to pittadōṣa),-
304,302,ABB-41,haritavarcaH (kEvalapitta),haritavarcaḥ (kēvalapitta),हरितवर्चः (केवलपित्त),-,-,-,greenish faeces (due only to pittadōṣa),-
305,303,ABB-45,carmadaraNam/carmadalanam (kEvalapitta),(a) carmadaraṇam                (a) carmadalanam,चर्मदरणम्/चर्मदलनम् (केवलपित्त),-,-,-,Atopic dermatitis disorder (TM2) ⇒,-
306,304,ABC,sthAnaviSeSha-kupitapittam,sthānaviśēṣa-kupitapittam,स्थानविशेष-कुपितपित्तम्,-,-,-,location specific vitiated pitta,-
307,305,ABC-1,raktasthitapittakopaH,raktasthitapittakōpaḥ,रक्तस्थितपित्तकोपः,-,"the disorder is characterized by dāhaḥ [burning sensation], visarpaḥ [spreading cellulitis/erysipelas]",-,vitiated pitta in rakta,-
308,306,ABC-2,mAMsasthitakaPakopaH,māṁsasthitakaphakōpaḥ,मांसस्थितकफकोपः,-,the disorder is characterized by māṁsavakōthanam [putrifaction of māṁsa/muscle tissue],-,vitiated kapha residing in māṁsa,-
309,307,ABC-3,medasthitapittakopaH,mēdasthitapittakōpaḥ,मेदस्थितपित्तकोपः,-,"the disorder is characterized by sadāha-granthiḥ [eruptions having burning], svēdaḥ [perspiration], tr̥ṭ [thirst], vamanam [vomiting]",-,vitiated pitta in mēdas,-
310,308,ABC-4,asthisthitapittakopaH,asthisthitapittakōpaḥ,अस्थिस्थितपित्तकोपः,-,the disorder is characterized by bhr̥śaṁ dāham [excessive burning sensation],-,vitiated pitta in asthi,-
311,309,ABC-5,majjAsthitapittakopaH,majjāsthitapittakōpaḥ,मज्जास्थितपित्तकोपः,-,"the disorder is characterized by hāridranakhaḥ [yellow coloured nail], hāridranētratā [yellow coloured eyes]",-,vitiated pitta in majjā,-
312,310,ABC-6,SukrasthitapittakopaH,śukrasthitapittakōpaḥ,शुक्रस्थितपित्तकोपः,-,"the disorder is characterized by pūtiśukram [putrid semen], pītāvabhāsaśukram [yellowish semen]",-,vitiated pitta in śukra,-
313,311,ABC-7,tvaksthitapittakopaH,tvaksthitapittakōpaḥ,त्वक्स्थितपित्तकोपः,-,"the disorder is characterized by visphōṭaḥ [blisters], masūrikā [lentil shaped pustular eruptions on skin]",-,vitiated pitta in skin,-
314,312,ABC-8,snAyusthitapittakopaH,snāyusthitapittakōpaḥ,स्नायुस्थितपित्तकोपः,-,the disorder is characterized by tr̥ṣam [thirst],-,vitiated pitta in snāyu,-
315,313,ABC-9,koShThasthitapittakopaH,kōṣṭhasthitapittakōpaḥ,कोष्ठस्थितपित्तकोपः,-,"the disorder is characterized by madaḥ [intoxication], tr̥ṭ [thirst], dāhaḥ [burning sensation]",-,vitiated pitta in kōṣṭha,-
316,314,ABC-10,sirAsthitapittakopaH,sirāsthitapittakōpaḥ,सिरास्थितपित्तकोपः,-,"the disorder is characterized by krōdhaḥ [anger], tāpaḥ [hotness], pralāpam [excess talking/irrelevant speech/incoherent speech]",-,vitiated pitta in blood vessels,-
317,315,AB-1,nirAmapittam,nirāmapittam,निरामपित्तम्,-,"the disorder is characterized by ātāmram [copper coloured], pītam [yellow coloured], atyuṣṇam [excessively hot in nature], kaṭukarasaḥ [pungent taste], asthiram [unstable/mobile], vigandham [bad smell/smell of raw meat], rucipradam [offer ability to taste food], paktibalapradam [enhances digestion]",-,disorders of pitta without āma,-
318,316,AB-2,sAmapittam,sāmapittam,सामपित्तम्,-,"the disorder is characterized by durgandham [foul smell], haritam [greenish], śyāvam [bluish black colour], amlam [sour taste], sthiram [stable/immobile], guruḥ [heaviness], amlikām [sour belching/eructation], hr̥ddāham [burning sensation in the precordial/cardiac region], kaṇṭhadāham [burning sensation in throat]",Note: Also Classifed under #san@AmadoShaH#[DA],disorders of pitta associated with āma,-
319,317,AB-3,pittaroga-ariShTaH,pittarōga-ariṣṭaḥ,पित्तरोग-अरिष्टः,-,"the disorder is characterized by haritābhā sirā [greenish coloured vessels], saṁvr̥tarōmakūpāḥ [covered by hair follicles]",-,fatal signs of pitta roga,-
320,318,AC,SleShmavikAraH,ślēṣmavikāraḥ,श्लेष्मविकारः,-,-,-,disorders due to ślēṣma,-
321,319,ACA,doShAvasthA (kaPa),dōṣāvasthā (kapha),दोषावस्था (कफ),-,-,-,morbid state of dōṣa,-
322,320,ACA-1,kaPasa~jcayaH,(a) kaphasañcayaḥ,कफसञ्चयः,-,It is characterized by heaviness of the body and lethargy. This may be explained by accumulation of kapha at the designated site.,-,Accumulation of kapha pattern (TM2),-
323,321,ACA-2,kaPavRuddhiH,(a) kaphavṛddhiḥ,कफवृद्धिः,-,"It is characterized by whitish discoloration of body, feeling of cold, reduced mobility of the body, heaviness of the body, fatigue, feeling of drowsiness, excessive sleep, loosening of joints. This may be explained by marked increase of kaphadosha functions and consequent physiological and pathological ramifications.",-,Aggravation of kapha pattern (TM2),Increased kapha (TM2)
324,322,ACA-2.1,kaPaprakopaH,(a) kaphaprakopaḥ,कफप्रकोपः,-,It is characterized by aversion to food and nausea. This may be explained by aggravation of kaphadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of kapha pattern (TM2),-
325,323,ACA-3,kaPaprasaraH,(a) kaphaprasaraḥ,कफप्रसरः,-,"It is characterized by tastelessness, indigestion, feeling of tiredness, vomiting. This may be explained by spreading of kaphadosha from the place of accumulation to other parts or entire body.",-,Spreading of kapha pattern (TM2),-
326,324,ACA-4,kaPakShayaH,(a) kaphakṣayaḥ,कफक्षयः,-,"It is characterized by dryness of body, burning sensation inside the body, laxity of joints, thirst, weakness, reduced sleep. This may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",-,Depletion of kapha pattern (TM2),-
327,325,ACB,nAnAtmaja-SleShmavikAraH,nānātmaja-ślēṣmavikāraḥ,नानात्मज-श्लेष्मविकारः,-,-,-,diseases due to only ślēṣma,-
328,326,ACB-1,atisthaulyam (kEvala-kapha),atisthaulyam (kēvala-kapha),अतिस्थौल्यम् (केवल-कफ),-,-,-,obesity (due only to kaphadōṣa),-
329,327,ACB-2,apaktiH (kEvala-kapha),(a) apaktiḥ,अपक्तिः (केवल-कफ),-,-,-,Indigestion disorder due to kapha (TM2) ⇒,-
330,328,ACB-3,Alasyam (kEvala-kapha),(a) ālasyam,आलस्यम् (केवल-कफ),-,It is characterised by unwillngness to take be physically active and avoiding engaging in mentally active activities. This may be explained by: (a) Excess kapha obstruting the mental faculties and pitta for intellect.,-,Laziness disorder (TM2),-
331,329,ACB-4,udardaH (kEvala-kapha),udardaḥ (kēvala-kapha),उदर्दः (केवल-कफ),-,-,-,urticaria (due only to kaphadōṣa),-
332,330,ACB-5,kaTukA~gkShA (kEvala-kapha),kaṭukāṅkṣā (kēvala-kapha),कटुकाङ्क्षा (केवल-कफ),-,-,-,affinity to pungent taste (due only to kaphadōṣa),-
333,331,ACB-6,uShNakAmitA (kEvala-kapha),uṣṇakāmitā (kēvala-kapha),उष्णकामिता (केवल-कफ),-,-,-,affinity to hot objects (due only to kaphadōṣa),-
334,332,ACB-7,buddhimAndyam (kEvala-kapha),(a) buddhimāndyam,बुद्धिमान्द्यम् (केवल-कफ),-,-,-,Lack of decisiveness disorder (TM2) ⇒,-
335,333,ACB-8,acaitanyam (kEvala-kapha),acaitanyam (kēvala-kapha),अचैतन्यम् (केवल-कफ),-,-,-,lethargy (due only to kaphadōṣa),-
336,334,ACB-9,mUtrAdhikyam (kEvala-kapha),mūtrādhikyam (kēvala-kapha),मूत्राधिक्यम् (केवल-कफ),-,-,-,polyurea (due only to kaphadōṣa),-
337,335,ACB-10,SukravRuddhiH/SukrAdhikyam (kEvala-kapha),śukravr̥ddhiḥ/śukrādhikyam (kēvala-kapha),शुक्रवृद्धिः/शुक्राधिक्यम् (केवल-कफ),-,-,-,hyperspermia (due only to kaphadōṣa),-
338,336,ACB-11,Saityam-nAnAtmajaSleShmavikAraH (kEvala-kapha),śaityam-nānātmajaślēṣmavikāraḥ (kēvala-kapha),शैत्यम्-नानात्मजश्लेष्मविकारः (केवल-कफ),-,-,-,chills-disease due only to ślēṣma (due only to kaphadōṣa),-
339,337,ACB-12,kaNThopalepaH/mukhalepaH (kEvala-kapha),"(a) kaṇṭhopalepaḥ, (a) mukhalepaḥ",कण्ठोपलेपः/मुखलेपः (केवल-कफ),-,-,-,Coated oral cavity disorder (TM2) ⇒,-
340,338,ACB-13,galagaNDaH (kEvala-kapha),galagaṇḍaḥ (kēvala-kapha),गलगण्डः (केवल-कफ),-,-,-,goiter (due only to kaphadōṣa),-
341,339,ACB-14,gurugAtratA (kEvala-kapha),(a) gurugātratā,गुरुगात्रता (केवल-कफ),-,-,-,Body heaviness disorder (TM2) ⇒,-
342,340,ACB-15,tandrA (kEvala-kapha),(a) tandrā,तन्द्रा (केवल-कफ),-,-,-,Drowsiness disorder (TM2) ⇒,-
343,341,ACB-16,tRuptiH (kEvala-kapha),(a) tṛptiḥ,तृप्तिः (केवल-कफ),-,-,-,Excessive satiation disorder (TM2) ⇒,-
344,342,ACB-17,dhamanIpraticayaH (kEvala-kapha),(a) dhamanīpraticayaḥ,धमनीप्रतिचयः (केवल-कफ),-,"It is characterised by dry skin, feeling of heaviness, cold extremities. This may be explained by: (a) Accumulation of kapha and medas in the vessels.",-,Thickened arteries disorder (TM2),-
345,343,ACB-18,nidrAdhikyam (kEvala-kapha),(a) nidrādhikyam,निद्राधिक्यम् (केवल-कफ),-,"It is characterised by excess, prolonged deep sleep. This may be explained by: (a) Deranged digestive and metabolic factors, increased kapha and decreased vata.",-,Hypersomnia disorder (TM2),-
346,344,ACB-19,balAsakaH (kEvala-kapha),balāsakaḥ (kēvala-kapha),बलासकः (केवल-कफ),-,-,-,asthenia (due only to kaphadōṣa),-
347,345,ACB-20,malAdhikyam (kEvala-kapha),malādhikyam (kēvala-kapha),मलाधिक्यम् (केवल-कफ),-,-,-,over excretion of excreta (due only to kaphadōṣa),-
348,346,ACB-21,mukhamAdhuryam (kEvala-kapha),(a) mukhamādhuryam,मुखमाधुर्यम् (केवल-कफ),-,-,-,Feeling of sweet taste disorder (TM2) ⇒,-
349,347,ACB-22,mukhasrAvaH/prasekaH (kEvala-kapha),mukhasrāvaḥ/prasēkaḥ (kēvala-kapha),मुखस्रावः/प्रसेकः (केवल-कफ),-,-,-,salivation/ptyalism/sialorrhea (due only to kaphadōṣa),-
350,348,ACB-23,SItAgnitA (agnimAndyam) (kEvala-kapha),(a) agnimāndyam,शीताग्निता (अग्निमान्द्यम्) (केवल-कफ),-,-,-,Impaired digestion disorder (TM2) ⇒,-
351,349,ACB-24,SleShmodgiraNam (kEvala-kapha),(a) śleṣmodgiraṇam,श्लेष्मोद्गिरणम् (केवल-कफ),-,-,-,Blennemesis disorder (TM2) ⇒,-
352,350,ACB-25,Svetavarcastvam (kEvala-kapha),śvētavarcastvam (kēvala-kapha),श्वेतवर्चस्त्वम् (केवल-कफ),-,-,-,whitish faeces (due only to kaphadōṣa),-
353,351,ACB-26,SvetAvaBAsatA (kEvala-kapha),śvētāvabhāsatā (kēvala-kapha),श्वेतावभासता (केवल-कफ),-,-,-,pallor (due only to kaphadōṣa),-
354,352,ACB-27,staimityam (kEvala-kapha),(a) staimityam,स्तैमित्यम् (केवल-कफ),-,-,-,Feeling of being covered by wet cloth disorder (TM2) ⇒,-
355,353,ACB-28,hRudayopalepaH (kEvala-kapha),(a) hṛdayopalepaḥ,हृदयोपलेपः (केवल-कफ),-,-,-,Chest congestion disorder (TM2) ⇒,-
356,354,ACB-29,ghargharavAkyatA (kEvala-kapha),(a) ghargharavākyatā,घर्घरवाक्यता (केवल-कफ),-,-,-,Incoherent speech disorder (TM2) ⇒,-
357,355,ACC,sthAnaviSeSha-kupitakaPaH,sthānaviśēṣa-kupitakaphaḥ,स्थानविशेष-कुपितकफः,-,-,-,location specific vitiated kapha,-
358,356,ACC-1,tvak-sthitakaPakopaH,tvak-sthitakaphakōpaḥ,त्वक्-स्थितकफकोपः,-,"the disorder is characterized by stambham [rigidity], śvētāvabhāsatā [whitish dis colouration]",-,vitiated kapha residing in skin,-
359,357,ACC-2,raktasthitakaPakopaH,raktasthitakaphakōpaḥ,रक्तस्थितकफकोपः,-,the disorder is characterized by pāṇḍu [pallor/ anemia],-,vitiated kapha residing in rakta,-
360,358,ACC-3,mAMsasthitakaPakopaH,māṁsasthitakaphakōpaḥ,मांसस्थितकफकोपः,-,"the disorder is characterized by arbuda [tumor], apacī [disease consisting of enlargement of the glands of the neck], ārdracarmāvanaddhābhagātratām [feeling as if body is covered with raw hide (carma)], atigauravam [feeling of heavyness]",-,vitiated kapha residing in māṁsa,-
361,359,ACC-4,medaHsthitakaPakopaH,mēdaḥsthitakaphakōpaḥ,मेदःस्थितकफकोपः,-,"the disorder is characterized by sthūlatā [obesity], mēhaḥ [frequent and excessive micturition]",-,vitiated kapha residing in mēdas,-
362,360,ACC-5,asthisthitakaPakopaH,asthisthitakaphakōpaḥ,अस्थिस्थितकफकोपः,-,the disorder is characterized by asthistabdhatvam [loss of movement],-,vitiated kapha residing in asthi,-
363,361,ACC-6,majjAsthitakaPakopaH,majjāsthitakaphakōpaḥ,मज्जास्थितकफकोपः,-,the disorder is characterized by śuklanētratvam [whitish eyes],-,vitiated kapha residing in majjā,-
364,362,ACC-7,SukrasthitakaPakopaH,śukrasthitakaphakōpaḥ,शुक्रस्थितकफकोपः,-,the disorder is characterized by śukrasañcayam [accumilation of semen inside],-,vitiated kapha residing in śukra,-
365,363,ACC-8,sirAsthitakaPakopaH,sirāsthitakaphakōpaḥ,सिरास्थितकफकोपः,-,"the disorder is characterized by vibandham [obstructs the flow], sirāsthaḥ atigauravam [heaviness of siras/blood vessels], stabdhagātratām [stiffness of the body]",-,vitiated kapha residing in sirā,-
366,364,ACC-9,snAyusthitakaPakopaH,snāyusthitakaphakōpaḥ,स्नायुस्थितकफकोपः,-,the disorder is characterized by sandhiśūnyatvam [feeling of hollowness in joints],-,vitiated kapha residing in snāyu,-
367,365,ACC-10,koShThasthakaPakopaH,kōṣṭhasthakaphakōpaḥ,कोष्ठस्थकफकोपः,-,"the disorder is characterized by jaṭharōnnatiḥ [fullness and elevation of stomach/abdomen], arōcakaḥ [tastelessness], avipākaḥ [indigestion], kaphajāḥ gadāḥ [diseases caused by kapha]",-,vitiated kapha residing in kōṣṭha,-
368,366,AC-1,sAmakaPaH,sāmakaphaḥ,सामकफः,-,"the disorder is characterized by āvilaḥ [eyeball looks muddy/turbid], tantulaḥ [thready with filaments], styānaḥ [thick/dense], kaṇṭhadēśē avatiṣṭhatē [stagnates in the throat], durgandhaḥ [foul smell], kṣut-udgāra-vibandhakr̥t [loss of appetite and obstruct eructations]",Note: Also Classifed under #san@AmadoShaH#[DA],kapha associated with Ama/Ama state of vitiated kapha,-
369,367,AC-2,nirAmakaPaH,nirāmakaphaḥ,निरामकफः,-,"the disorder is characterized by phēnavān [frothy], piṇḍitaḥ [lumpy/dense], pāṇḍu [pallor/pale], niḥsāraḥ [clear light substance], agandhaḥ [free from foul smell/not having smell], vaktraśuddhiḥ [cleanses oral cavity/having clean oral cavity]",-,kapha without āma,-
370,368,AC-3,vaikRutakaPaH,vaikr̥takaphaḥ,वैकृतकफः,-,"the disorder is characterized by śaithilyam [looseness/laxity of body], kārśyam [emaciation], ālasyam [lethargy], klībatā [inability to perform sexual act/impotence], ajñānam [non cognizance], mōham [confusion/delirium]",-,vitiated kapha,-
371,369,AD,sAnnipAtikavikAraH,sānnipātikavikāraḥ,सान्निपातिकविकारः,-,-,-,disorders due to three dōṣa,-
372,370,AD-1,vAtapittolbaNa-mandakaPasannipAtaH,vātapittōlbaṇa-mandakaphasannipātaḥ,वातपित्तोल्बण-मन्दकफसन्निपातः,-,-,-,sannipāta vikāra due to aggravated vāta-pitta and depleted kapha,-
373,371,AD-2,vAtakaPolbaNa-hInapittasannipAtaH,vātakaphōlbaṇa-hīnapittasannipātaḥ,वातकफोल्बण-हीनपित्तसन्निपातः,-,-,-,sannipāta vikāra due to aggravated vāta-kapha and depleted pitta,-
374,372,AD-3,pittakaPolbaNa-hInavAtasannipAtaH,pittakaphōlbaṇa-hīnavātasannipātaḥ,पित्तकफोल्बण-हीनवातसन्निपातः,-,-,-,sannipāta vikāra due to aggravated pitta-kapha and depleted vāta,-
375,373,AD-4,vAtolbaNa-hInakaPapittasannipAtaH,vātōlbaṇa-hīnakaphapittasannipātaḥ,वातोल्बण-हीनकफपित्तसन्निपातः,-,-,-,sannipāta vikāra due to aggravated vāta and depleted kapha-pitta,-
376,374,AD-5,pittolbaNa-hInakaPavAtasannipAtaH,pittōlbaṇa-hīnakaphavātasannipātaḥ,पित्तोल्बण-हीनकफवातसन्निपातः,-,-,-,sannipāta vikāra due to aggravated pitta and depleted kapha- vāta,-
377,375,AD-6,kaPolbaNa-hInavAtapittasannipAtaH,kaphōlbaṇa-hīnavātapittasannipātaḥ,कफोल्बण-हीनवातपित्तसन्निपातः,-,-,-,"sannipāta vikāra due to aggravated kapha and subdued vāta, pitta",-
378,376,AD-7,SleShmolbaNa-pittamadhya-hInavAtaH,ślēṣmōlbaṇa-pittamadhya-hīnavātaḥ,श्लेष्मोल्बण-पित्तमध्य-हीनवातः,-,-,-,"sannipāta vikāra due to aggravated kapha, mildly aggravated pitta and depleted vāta.",-
379,377,AD-8,pittolbaNa-madhyakaPa-hInavAtasannipAtaH,pittōlbaṇa-madhyakapha-hīnavātasannipātaḥ,पित्तोल्बण-मध्यकफ-हीनवातसन्निपातः,-,-,-,"sannipāta vikāra due to aggravated pitta, mildly aggravated kapha and depleted vāta.",-
380,378,AD-9,vAtolbaNa-madhyakaPa-hInapittaH,vātōlbaṇa-madhyakapha-hīnapittaḥ,वातोल्बण-मध्यकफ-हीनपित्तः,-,-,-,"sannipāta vikāra due to aggravated vāta, mildly aggravated kapha and depleted pitta.",-
381,379,AD-10,kaPolbaNa-vAtamadhya-hInapittaH,kaphōlbaṇa-vātamadhya-hīnapittaḥ,कफोल्बण-वातमध्य-हीनपित्तः,-,-,-,"sannipāta vikāra due to aggravated kapha, mildly aggravated vāta and depleted pitta.",-
382,380,AD-11,vAtolbaNa-pittamadhya-hInakaPasannipAtaH,vātōlbaṇa-pittamadhya-hīnakaphasannipātaḥ,वातोल्बण-पित्तमध्य-हीनकफसन्निपातः,-,-,-,"sannipāta vikāra due to aggravated vāta, mildly aggravated pitta and depleted kapha.",-
383,381,AD-12,pittolbaNa-vAtamadhya-hInakaPasannipAtaH,pittōlbaṇa-vātamadhya-hīnakaphasannipātaḥ,पित्तोल्बण-वातमध्य-हीनकफसन्निपातः,-,-,-,"sannipāta vikāra due to aggravated pitta, mildly aggravated vāta and depleted kapha.",-
384,382,AD-13,samasannipAtaH,samasannipātaḥ,समसन्निपातः,-,-,-,sannipāta vikāra due to equally aggravated tri dōṣa,-
385,383,B,dhAtuvaiShamyam,dhātuvaiṣamyam,धातुवैषम्यम्,-,disturbance of homeostasis leading to an abnormal or pathological or diseased state,-,"Vitiation of ""primary structural components of the body"" pattern (TM2)",-
386,384,BA,rasavaiShamyam,rasavaiṣamyam,रसवैषम्यम्,-,-,-,derangement of rasadhātu,-
387,385,BA-1,rasakShayaH,(a) rasakṣayaḥ,रसक्षयः,-,"It is characterized by shaking, Intolerance to hearing loud noises, palpitation of heart, palpitation on little exertion, body pain, precordial pain, cardiac pain, tremors, absence of mind, feeling of emptiness in body, thirst, dryness, wasting, emaciation, palpitation, tiredness on little exertion, dyspnoea on exertion, dryness, fatigue in mind and body. (a) This may be explained by morbid decrease of circulating fluid.",-,Depletion of primary circulating nutrient fluid pattern (TM2),Decrease in chyle (TM2)
388,386,BA-2,rasavRuddhiH,(a) rasavṛddhiḥ,रसवृद्धिः,-,"It is characterised by nausea, excessive salivation, tastelessness, distaste of mouth, obstruction in channels, aversion to eating sweet food, generalised body ache, white discolouration, coldness, obesity, lethargy, heaviness, exhaustion, tiredness, obstruction to flow of primary product of digested food, syncope, attacks of swooning, excessive sleep, drowsiness, lassitude, breathlessness, cough, loosening and dislocation of joints, flaccidity, laxity in body parts, diminution of digestive power, loss of appetite associated with gasping and bloating. (a) This may be explained by morbid increase of circulating fluid.",-,Aggravation of primary circulating nutrient fluid pattern (TM2),-
389,387,BB,raktavaiShamyam,raktavaiṣamyam,रक्तवैषम्यम्,-,-,-,rakta vitiation,-
390,388,BB-1,raktakShayaH,(a) raktakṣayaḥ,रक्तक्षयः,-,"It is characterized by rough, dry , cracked, faded, lusterless skin, desire for sour taste, cold, laxity of vessels, tortuous vesselsm, pallor, tiredness, burning sensation over the feet and lassitude. (a) This may be explained by morbid decrease of blood.",-,Depletion of blood pattern (TM2),-
